"","X","Day","State","ChinaVirusInterest","KungFluInterest","Region"
"486",486,"2020-03-01","CO",12,0,"Mountain"
"487",487,"2020-03-02","CO",32,0,"Mountain"
"488",488,"2020-03-03","CO",15,0,"Mountain"
"489",489,"2020-03-04","CO",12,0,"Mountain"
"490",490,"2020-03-05","CO",23,0,"Mountain"
"491",491,"2020-03-06","CO",18,0,"Mountain"
"492",492,"2020-03-07","CO",12,0,"Mountain"
"493",493,"2020-03-08","CO",36,6,"Mountain"
"494",494,"2020-03-09","CO",17,0,"Mountain"
"495",495,"2020-03-10","CO",12,0,"Mountain"
"496",496,"2020-03-11","CO",22,0,"Mountain"
"497",497,"2020-03-12","CO",24,0,"Mountain"
"498",498,"2020-03-13","CO",54,5,"Mountain"
"499",499,"2020-03-14","CO",36,0,"Mountain"
"500",500,"2020-03-15","CO",40,0,"Mountain"
"501",501,"2020-03-16","CO",40,0,"Mountain"
"502",502,"2020-03-17","CO",40,8,"Mountain"
"503",503,"2020-03-18","CO",26,8,"Mountain"
"504",504,"2020-03-19","CO",32,7,"Mountain"
"505",505,"2020-03-20","CO",29,10,"Mountain"
"506",506,"2020-03-21","CO",42,6,"Mountain"
"507",507,"2020-03-22","CO",32,6,"Mountain"
"508",508,"2020-03-23","CO",16,0,"Mountain"
"509",509,"2020-03-24","CO",30,5,"Mountain"
"510",510,"2020-03-25","CO",38,0,"Mountain"
"511",511,"2020-03-26","CO",45,5,"Mountain"
"512",512,"2020-03-27","CO",41,0,"Mountain"
"513",513,"2020-03-28","CO",17,8,"Mountain"
"514",514,"2020-03-29","CO",8,0,"Mountain"
"515",515,"2020-03-30","CO",31,0,"Mountain"
"516",516,"2020-03-31","CO",19,0,"Mountain"
"517",517,"2020-04-01","CO",19,5,"Mountain"
"518",518,"2020-04-02","CO",25,0,"Mountain"
"519",519,"2020-04-03","CO",14,0,"Mountain"
"520",520,"2020-04-04","CO",17,0,"Mountain"
"521",521,"2020-04-05","CO",17,6,"Mountain"
"522",522,"2020-04-06","CO",21,0,"Mountain"
"523",523,"2020-04-07","CO",5,0,"Mountain"
"524",524,"2020-04-08","CO",14,0,"Mountain"
"525",525,"2020-04-09","CO",7,0,"Mountain"
"526",526,"2020-04-10","CO",10,0,"Mountain"
"527",527,"2020-04-11","CO",0,0,"Mountain"
"528",528,"2020-04-12","CO",14,5,"Mountain"
"529",529,"2020-04-13","CO",9,0,"Mountain"
"530",530,"2020-04-14","CO",12,0,"Mountain"
"531",531,"2020-04-15","CO",13,0,"Mountain"
"532",532,"2020-04-16","CO",11,0,"Mountain"
"533",533,"2020-04-17","CO",7,0,"Mountain"
"534",534,"2020-04-18","CO",10,0,"Mountain"
"535",535,"2020-01-21","CT",56,0,"Northeast"
"536",536,"2020-01-22","CT",47,0,"Northeast"
"537",537,"2020-01-23","CT",60,0,"Northeast"
"538",538,"2020-01-24","CT",96,0,"Northeast"
"539",539,"2020-01-25","CT",100,0,"Northeast"
"540",540,"2020-01-26","CT",64,0,"Northeast"
"541",541,"2020-01-27","CT",93,0,"Northeast"
"542",542,"2020-01-28","CT",46,0,"Northeast"
"543",543,"2020-01-29","CT",38,9,"Northeast"
"544",544,"2020-01-30","CT",28,0,"Northeast"
"545",545,"2020-01-31","CT",36,0,"Northeast"
"546",546,"2020-02-01","CT",30,0,"Northeast"
"547",547,"2020-02-02","CT",39,0,"Northeast"
"548",548,"2020-02-03","CT",33,0,"Northeast"
"549",549,"2020-02-04","CT",37,0,"Northeast"
"550",550,"2020-02-05","CT",33,0,"Northeast"
