"","Day","State","ChinaVirusInterest","KungFluInterest"
"371",2020-02-04,"CA",25,1
"372",2020-02-05,"CA",22,1
"373",2020-02-06,"CA",21,1
"374",2020-02-07,"CA",28,0
"375",2020-02-08,"CA",20,0
"376",2020-02-09,"CA",21,1
"377",2020-02-10,"CA",23,1
"378",2020-02-11,"CA",21,0
"379",2020-02-12,"CA",18,0
"380",2020-02-13,"CA",20,0
"381",2020-02-14,"CA",21,0
"382",2020-02-15,"CA",14,0
"383",2020-02-16,"CA",17,0
"384",2020-02-17,"CA",12,0
"385",2020-02-18,"CA",16,0
"386",2020-02-19,"CA",14,0
"387",2020-02-20,"CA",12,0
"388",2020-02-21,"CA",12,0
"389",2020-02-22,"CA",10,0
"390",2020-02-23,"CA",12,0
"391",2020-02-24,"CA",15,0
"392",2020-02-25,"CA",15,0
"393",2020-02-26,"CA",17,0
"394",2020-02-27,"CA",18,0
"395",2020-02-28,"CA",26,1
"396",2020-02-29,"CA",24,0
"397",2020-03-01,"CA",13,0
"398",2020-03-02,"CA",16,1
"399",2020-03-03,"CA",17,0
"400",2020-03-04,"CA",18,0
"401",2020-03-05,"CA",23,0
"402",2020-03-06,"CA",25,1
"403",2020-03-07,"CA",21,0
"404",2020-03-08,"CA",15,0
"405",2020-03-09,"CA",18,1
"406",2020-03-10,"CA",20,0
"407",2020-03-11,"CA",22,1
"408",2020-03-12,"CA",37,0
"409",2020-03-13,"CA",41,0
"410",2020-03-14,"CA",28,0
"411",2020-03-15,"CA",37,0
"412",2020-03-16,"CA",32,1
"413",2020-03-17,"CA",39,1
"414",2020-03-18,"CA",47,15
"415",2020-03-19,"CA",55,13
"416",2020-03-20,"CA",45,6
"417",2020-03-21,"CA",36,3
"418",2020-03-22,"CA",37,3
"419",2020-03-23,"CA",23,2
"420",2020-03-24,"CA",46,1
"421",2020-03-25,"CA",47,1
"422",2020-03-26,"CA",40,2
"423",2020-03-27,"CA",33,1
"424",2020-03-28,"CA",31,1
"425",2020-03-29,"CA",22,1
"426",2020-03-30,"CA",23,0
"427",2020-03-31,"CA",17,1
"428",2020-04-01,"CA",21,0
"429",2020-04-02,"CA",18,2
"430",2020-04-03,"CA",15,1
"431",2020-04-04,"CA",17,0
"432",2020-04-05,"CA",16,1
"433",2020-04-06,"CA",19,0
"434",2020-04-07,"CA",12,1
"435",2020-04-08,"CA",11,1
"436",2020-04-09,"CA",13,1
"437",2020-04-10,"CA",11,1
"438",2020-04-11,"CA",10,1
"439",2020-04-12,"CA",11,1
"440",2020-04-13,"CA",10,1
"441",2020-04-14,"CA",8,1
"442",2020-04-15,"CA",11,0
"443",2020-04-16,"CA",11,1
"444",2020-04-17,"CA",11,0
"445",2020-04-18,"CA",11,0
"446",2020-01-21,"CO",22,0
"447",2020-01-22,"CO",30,0
"448",2020-01-23,"CO",70,0
"449",2020-01-24,"CO",69,0
"450",2020-01-25,"CO",100,0
"451",2020-01-26,"CO",80,0
"452",2020-01-27,"CO",43,0
"453",2020-01-28,"CO",46,5
"454",2020-01-29,"CO",41,0
"455",2020-01-30,"CO",43,5
"456",2020-01-31,"CO",41,0
"457",2020-02-01,"CO",32,0
"458",2020-02-02,"CO",19,6
"459",2020-02-03,"CO",29,0
"460",2020-02-04,"CO",20,0
"461",2020-02-05,"CO",16,0
"462",2020-02-06,"CO",21,0
"463",2020-02-07,"CO",21,0
"464",2020-02-08,"CO",13,0
"465",2020-02-09,"CO",12,0
"466",2020-02-10,"CO",18,0
"467",2020-02-11,"CO",28,0
"468",2020-02-12,"CO",16,0
"469",2020-02-13,"CO",13,0
"470",2020-02-14,"CO",11,0
"471",2020-02-15,"CO",26,0
"472",2020-02-16,"CO",12,0
"473",2020-02-17,"CO",17,0
"474",2020-02-18,"CO",10,0
"475",2020-02-19,"CO",5,0
"476",2020-02-20,"CO",10,0
"477",2020-02-21,"CO",16,0
"478",2020-02-22,"CO",12,0
"479",2020-02-23,"CO",12,0
"480",2020-02-24,"CO",8,0
"481",2020-02-25,"CO",5,0
"482",2020-02-26,"CO",15,0
"483",2020-02-27,"CO",10,0
"484",2020-02-28,"CO",24,0
"485",2020-02-29,"CO",25,6
"486",2020-03-01,"CO",12,0
"487",2020-03-02,"CO",32,0
"488",2020-03-03,"CO",15,0
"489",2020-03-04,"CO",12,0
"490",2020-03-05,"CO",23,0
"491",2020-03-06,"CO",18,0
"492",2020-03-07,"CO",12,0
"493",2020-03-08,"CO",36,6
"494",2020-03-09,"CO",17,0
"495",2020-03-10,"CO",12,0
"496",2020-03-11,"CO",22,0
"497",2020-03-12,"CO",24,0
"498",2020-03-13,"CO",54,5
"499",2020-03-14,"CO",36,0
"500",2020-03-15,"CO",40,0
"501",2020-03-16,"CO",40,0
"502",2020-03-17,"CO",40,8
"503",2020-03-18,"CO",26,8
"504",2020-03-19,"CO",32,7
"505",2020-03-20,"CO",29,10
"506",2020-03-21,"CO",42,6
"507",2020-03-22,"CO",32,6
"508",2020-03-23,"CO",16,0
"509",2020-03-24,"CO",30,5
"510",2020-03-25,"CO",38,0
"511",2020-03-26,"CO",45,5
"512",2020-03-27,"CO",41,0
"513",2020-03-28,"CO",17,8
"514",2020-03-29,"CO",8,0
"515",2020-03-30,"CO",31,0
"516",2020-03-31,"CO",19,0
"517",2020-04-01,"CO",19,5
"518",2020-04-02,"CO",25,0
"519",2020-04-03,"CO",14,0
"520",2020-04-04,"CO",17,0
