date,state,positive,negative,death,hospitalized,totalTestResults,FIPS
3/17/2020,ND,3,220,0,,223,38
3/17/2020,NE,21,206,,,227,31
3/17/2020,NH,17,355,,,372,33
3/17/2020,NJ,267,163,3,,430,34
3/17/2020,NM,23,1249,,,1272,35
3/17/2020,NV,55,168,1,,223,32
3/17/2020,NY,1700,5506,7,,7206,36
3/17/2020,OH,67,140,,,207,39
3/17/2020,OK,17,247,,,264,40
3/17/2020,OR,47,689,,,736,41
3/17/2020,PA,96,879,,,975,42
3/17/2020,PR,5,13,,,18,72
3/17/2020,RI,23,403,,,426,44
3/17/2020,SC,33,311,1,,344,45
3/17/2020,SD,11,551,,,562,46
3/17/2020,TN,73,330,,,403,47
3/17/2020,TX,64,1204,1,,1268,48
3/17/2020,UT,51,131,0,,182,49
3/17/2020,VA,67,961,1,,1028,51
3/17/2020,VI,2,,,,2,78
3/17/2020,VT,10,495,,,505,50
3/17/2020,WA,1218,11582,77,,12800,53
3/17/2020,WI,72,1038,,,1110,55
3/17/2020,WV,0,80,0,,80,54
3/17/2020,WY,10,95,,,105,56
3/18/2020,AK,6,406,,,412,2
3/18/2020,AL,46,28,0,,74,1
3/18/2020,AR,33,236,,,269,5
3/18/2020,AS,,,0,,0,60
3/18/2020,AZ,28,148,0,,176,4
3/18/2020,CA,611,7981,13,,8592,6
3/18/2020,CO,183,1617,2,,1800,8
3/18/2020,CT,68,125,,,193,9
3/18/2020,DC,31,138,,,169,11
3/18/2020,DE,25,36,,,61,10
3/18/2020,FL,314,1225,7,,1539,12
3/18/2020,GA,197,1311,1,,1508,13
3/18/2020,GU,8,57,,,65,66
3/18/2020,HI,14,93,,,107,15
3/18/2020,IA,29,83,,,112,19
3/18/2020,ID,9,459,,,468,16
3/18/2020,IL,288,1763,1,,2051,17
3/18/2020,IN,39,154,2,,193,18
3/18/2020,KS,16,417,1,,433,20
3/18/2020,KY,26,354,1,,380,21
3/18/2020,LA,240,335,6,,575,22
3/18/2020,MA,256,2015,,,2271,25
3/18/2020,MD,85,94,,,179,24
3/18/2020,ME,43,1670,,,1713,23
3/18/2020,MI,2913,1215,,,4128,26
3/18/2020,MN,77,2685,,,2762,27
3/18/2020,MO,13,253,0,,266,29
3/18/2020,MP,0,,0,,0,69
3/18/2020,MS,34,479,,,513,28
3/18/2020,MT,10,499,,,509,30
3/18/2020,NC,63,1787,0,,1850,37
3/18/2020,ND,6,268,0,,274,38
3/18/2020,NE,24,206,,,230,31
3/18/2020,NH,26,513,,,539,33
3/18/2020,NJ,427,190,5,,617,34
3/18/2020,NM,28,2326,,,2354,35
3/18/2020,NV,55,168,1,,223,32
3/18/2020,NY,2382,12215,12,,14597,36
3/18/2020,OH,88,140,,,228,39
3/18/2020,OK,29,378,,,407,40
3/18/2020,OR,75,1118,3,,1193,41
3/18/2020,PA,133,1187,1,,1320,42
3/18/2020,PR,5,31,,,36,72
3/18/2020,RI,33,540,,,573,44
3/18/2020,SC,60,583,1,,643,45
3/18/2020,SD,11,551,1,,562,46
3/18/2020,TN,98,349,,,447,47
3/18/2020,TX,83,1824,2,,1907,48
3/18/2020,UT,63,131,0,,194,49
3/18/2020,VA,77,1201,1,,1278,51
3/18/2020,VI,2,,,,2,78
3/18/2020,VT,19,592,,,611,50
3/18/2020,WA,1388,13117,81,,14505,53
3/18/2020,WI,106,1577,,,1683,55
3/18/2020,WV,1,122,0,,123,54
3/18/2020,WY,15,178,,,193,56
3/19/2020,AK,6,432,,,438,2
3/19/2020,AL,68,28,0,,96,1
3/19/2020,AR,46,310,,,356,5
3/19/2020,AS,,,0,,0,60
3/19/2020,AZ,44,175,0,,219,4
3/19/2020,CA,924,8787,18,,9711,6
3/19/2020,CO,216,2112,2,,2328,8
3/19/2020,CT,96,604,1,,700,9
3/19/2020,DC,39,153,0,,192,11
3/19/2020,DE,30,36,0,,66,10
3/19/2020,FL,390,1533,8,,1923,12
3/19/2020,GA,287,1544,10,,1831,13
3/19/2020,GU,12,69,,,81,66
3/19/2020,HI,16,93,,,109,15
3/19/2020,IA,38,83,,,121,19
3/19/2020,ID,11,459,,,470,16
3/19/2020,IL,422,2725,4,,3147,17
3/19/2020,IN,56,324,2,,380,18
3/19/2020,KS,34,417,1,,451,20
3/19/2020,KY,35,454,1,,489,21
3/19/2020,LA,347,458,8,,805,22
3/19/2020,MA,328,2804,,,3132,25
3/19/2020,MD,107,94,1,,201,24
3/19/2020,ME,53,2004,,,2057,23
3/19/2020,MI,3392,1785,3,,5177,26
3/19/2020,MN,89,2949,,,3038,27
3/19/2020,MO,24,308,1,,332,29
3/19/2020,MP,0,,0,,0,69
3/19/2020,MS,50,552,,,602,28
3/19/2020,MT,12,761,,,773,30
3/19/2020,NC,97,2408,0,,2505,37
3/19/2020,ND,15,493,0,,508,38
3/19/2020,NE,27,240,0,,267,31
3/19/2020,NH,39,621,,,660,33
3/19/2020,NJ,742,210,9,,952,34
3/19/2020,NM,35,2762,,,2797,35
3/19/2020,NV,95,1626,1,,1721,32
3/19/2020,NY,4152,18132,12,,22284,36
3/19/2020,OH,119,140,,,259,39
3/19/2020,OK,44,466,1,,510,40
3/19/2020,OR,88,1329,3,,1417,41
3/19/2020,PA,185,1608,1,,1793,42
3/19/2020,PR,5,56,,,61,72
3/19/2020,RI,44,654,,,698,44
3/19/2020,SC,60,583,1,,643,45
3/19/2020,SD,11,551,1,,562,46
3/19/2020,TN,154,349,,,503,47
3/19/2020,TX,143,2212,3,,2355,48
3/19/2020,UT,78,1448,0,,1526,49
3/19/2020,VA,94,1829,2,,1923,51
